evn	rus
война манавчалан би дыгин дяр анӈаниӈичи бичэв	к концу войны мне было сорок лет
война этэврэкин,  би тэгэдыду татыганду хавалилдяӈав	когда кончится война, я займусь народным  образованием
войнал,  сукчан биӈэситын  кэтэ куӈакар дюла ачир аӈадякар очатын	во время войн и разрухи много  детей оказались беспризорными
войсковой часть	войсковая часть
войскол эмугдэтын	бодрый дух войск
вокзал дагадун, ӈэлумупчугэчин, такси  ачин биси	такси, как на грех, возле вокзала нет
вокзалды радиоузел комнатадун коӈактэ коӈалбудячан	в комнате вокзального  радиоузла раздался звонок
вооружённаил эӈэсӣл	вооружённые силы
вопро̄сва гӯмэ̄чил-мӣ	затронуть вопрос
вопро̄сва гӯлды-мӣ, вопро̄сва дёкилды̄-мӣ	согласовать вопрос
воробей гекчарвэ, туракилвэ надытна ичэтчэн	воробей  с опаской поглядел на соколов и галок
время каӈкимамат ӈэнэдечэн	время летело быстро
время-ка тамура	а время дорого
вспомогательнэй глагол	вспомогательный глагол
выходной день, дэрумкӣкӣт тырганӣн	выходной день
га̄са, га̄рэ*, хуба*	серый лебедь
гавка̄н-мӣ (	приказать взять
гавка̄н-мӣ (	велеть взять
гавунни, ча?ит!	попался, разбойник!
гавунни, чаӈит!	попался, разбойник!
гагдылду дэктылэлду гудей неӈнени дэгрэн	прилетела красавица весна на лебединых крыльях
гадя-мӣ	делать покупки
газачӣ плита	газовая плита
газета омакта номерин  ючэн	вышел новый номер газеты
газета радио эчэ биси: радиова  учисининни — тадук долчатмунни-гу, эчэс-ку, упкатван мудамаклан долчатчакал	газета  — это не радио: радио включил — и, хочешь не хочешь, слушай всё подряд
газетава дукӯдя-мӣ	выписывать газету
газетадӯ са̄вка̄вӯн	газетное объявление
газетатын понедельникилду юдевки	их  газета выходит по понедельникам
газичи плита	газовая  плита
газовай печка — эду-дэ, линотипту бивки —  металлвэ унӈидевки	газовая печка — здесь же, в линотипе — плавит металл
газопровод дуннэ догидалин ӈэнэдерэн	газопровод  проходит под землёй.
газопровод эчэ ичэвдерэ	газопровод не виден
гайкандем,  эдави правительствосун эвки элэкирэ хавамнилас бурэ?	я удивляюсь, почему  ваше правительство не даёт вам достаточно рабочих?
гаксадя-мӣ	вялить рыбу
гаксидя-мӣ	добиваться получения
галбулдыдя-мӣ	гоняться за оленем
галэ̄нэлӣ аӣчив-мӣ	пройти курс лечения
ганалчива век манара	ганальчей  всех уничтожили
ганалэвэр нуӈанман ӈэнэвкэллу	несите его туда, откуда взяли
гарава марка̄нэн	он нагнул ветку
гаралду тагавча  шарвэ он-да эӈи гавра	шар, зацепившийся за ветку, невозможно снять
гаралду тагавча шарвэ он-да эӈи гавра	шар, зацепившийся за ветку,  невозможно было достать
гаралду экун-мал  качуналчан	в ветках что-то зашуршало
гаралду экун-мал немумэт качуналчан	в ветках  что-то мягко зашуршало
гарпадя-мӣ	освещать лучами
гарпакта синэ!	вот выстрелю в тебя!
гарпала̄н	меткий стрелок
гарпанди намнэтыкин сиӈилгэнду ичэвдерэн	при свете каждая соринка  видна на снегу
гарпачи дылача бегадук ӈэрипчутмэр	лучистое  солнце ярче луны
гатакта бичэн — Пачэки гэрбин	был один смельчак по  имени Пачэки
гатактэл илэл сунду  индерэ	смелые люди у вас живут
гвардейскаил частил митту ачирмаю	гвардейских  частей у нас почти нет
ге  бира гела бирала дарэн	одна река впадает в другую реку
ге асаткан дэрэн мурумэтмэр, багдама нюриктэчи бичэн	другая девочка была с более круглым лицом и светловолосая
ге взвод разведкан  рапортуйдяран	рапортует разведка второго взвода
ге̄ анӈанӣ о̄ран	пошёл второй год
ге̄ сурурэн, ге̄ эмэнмурэн	один из них ушёл, другой остался
ге̄ таӈу, дю̄рӣ таӈу	второе число
ге̄ час, дю̄рӣ час	второй час
ге̄-да... ге̄-да...	ни тот не другой
ге̄... ге̄...	и тот и другой
ге̄вран эмэрэн	он снова пришёл
ге̄вун алагӯн	повторение пройденного
ге̄ги-да̄	другая сторона
ге̄ла ӈуӈнэлэ̄ ӈэнэв-мӣ	перенести на другую строку
ге̄тыкин	любой из них
ге̄тыкин са̄дерэ	каждый знает
геванӈан	второй год
геду тырганиду революция давдынадукин  ювувчэ бичэн декрет церковьва государстводук, таткитва церковьдук хэрэкэгидэвэр	на другой день после победы революции был издан декрет об отделении церкви  от государства и школы от церкви
геду хоктоду, перрон баргидадун, эмэмэктэ поезд илитчачан	на другом пути, на той стороне перрона, стоял только что прибывший поезд
гекчан  рожь оёклон дэгчэн, тадук иду-вэл букачан чагидадун умнэт халчан	ястреб  пролетел над рожью, и исчез где-то за пригорком
гекчан аракукан эмэрилди  дэктылэлдиви хардячан	сокол чуть заметно трепетал острыми крыльями
гекчан асин вадяктуви хелакива девчэн	ястребиха съела на месте
гекчан нуӈанман оӈоктотви воздухту иктэксэ, умнэт вавки	ударом клюва ястреб прикончит её в воздухе
гекчан осикталин харбаргачатын	когти ястреба разжались
гекчан хэргиски буктучэн, дэгимнэк  сивсикунмэ туксанчачан, таду, лавададяна, дариски дэгилчэн	ястреб ринулся  вниз, подхватил кузнечика на лету и, держа его в клюве, умчался прочь
гекчан эмэрил матавчал лэпурэлин  кикэдерэ	острые изогнутые крылья у ястреба так и свистят
генера̄льнэй прокурор	генеральный прокурор
генерал  фронталди упкатван городва хакуран	генерал кольцом фронтов опоясал город
генерал Петров казакилнун эмэдечэн	генерал Петров шёл с казаками
генерал столду картава сэктэрэн генерал	разложил на столе  карту
генератор  умукэн хан маннит бидектуви илитчаран	одна часть генератора твёрдо стоит на  месте
генератор дюрдук соткулдук халдукин бисин	генератор  состоит из двух главных частей
гениа̄льнэй дукула̄н	гениальный писатель
геолог дамгатыксави олгокиндула лалбукала нодаркэ	наверно, геолог бросил  в сухой мох окурок
геологил Виталийду баканалвар дёлолво ичэвкэнчэтын	геологи показали Виталию свои находки, камни
геологил дяпканӈаду багдарирва  палаткалвар иливканэ	геологи поставили на опушке леса свои белые палатки
гербовай печать, гербовай сэмэлки	гербовая печать
гивчэн асунди гугдат угиски  туктыдеридин, тарбат хомоты бултамнилтыки чагородячан	насколько выше  поднялась кабарга, настолько выше в сторону охотников передвигался медведь
гивчэн асунди гугдат угиски туктыдеридин хомоты  тарбат бултамнилтыки чагородячан	медведь пятился настолько выше в сторону  охотников, насколько выше поднималась кабарга
гивэ нодарэн	он бросил мимо
гил дэгил ӈэлэлнэтвэр  дарискитанэ дэгилчэтын	остальные птицы разлетелись с перепугу в разные  стороны
гиллэнэдерил чуламал вагонил уркэлтын игъе ачинди дарискил нивчэтын	двери  блестящих голубых вагонов бесшумно раздвинулись
гимназист  биӈэсиви, Сима естественнаилди наукалди одяӈатэдеӈкин	Сима занималась  естественными науками ещё будучи гимназисткой
гио̄дя-мӣ	бросать жребий
гипсэчӣ яптуптын	гипсовая повязка
гиркив коӈатва  такусчаӈаван силбам	я сообщил о том, что мой товарищ починит лодку
гиркилин  дарила илитчара	в стороне стоят его товарищи
гиркилэ̄де-мӣ	водить компанию
гиркилэ̄де-мӣ	◊ быть в ладах
гиркилэ̄лде-мӣ	заводить дружбу
гиркилэ̄мэ̄тчэ-мӣ	быть в хороших отношениях с кем-либо
гиркин сокторон суюкэнмэ бакаран	его товарищ по ошибке поймал бычка
гиркин, харпукатчэнэ, нуӈан согдоннолин эдэн гуяларэ, Вася аракун  туксасинчан	чтобы приятель, озорничая, не боднул его в спину, Вася умерил  бег
гиркис хэрэн такэладеми	твой  друг не смог идти по бревну
гиркунмар хавкэл!	прибавь ходу!
гиркунмар хавкэл, — Кирилл маннит гунэн	прибавь ходу, —  сказал твёрдо Кирилл
гиркэвӯн	походная постель
гиркӣды улгучэ̄н	дружеское излияние чувств
гиркӣлэ̄мэ инен	дружеская шутка
гиркӣлэви	к товарищу
гласнэй ӣг	гласный звук
гласнэй иг, ултама иг	гласный звук
го̄ркӣт	место линьки птиц
голосуй-мӣ	подать голос за кого-либо
горизонта̄льнэй  ӈунӈэ	горизонтальная линия
горнякил механическаилди отбойнаилди халкалди дёломово  эллава колтолитчачатын	горняки откалывали уголь механическими отбойными  молотками
горо о̄ча̄	уж давно
горо тэ̄ру, гороӈохо*	долгий срок
горо̄два дён-мӣ	вспомнить о городе
горово ала̄тчэм	битый час жду
горово бидерӣ энӯмук	затяжная болезнь
горово улгучэмэт-мӣ	затянуть разговор
горово хавалдяча̄н	он много времени работал
горогит гулэл упкат  мэмэгилнунмэр солипилдыӈкитын, тадук чагила няӈня олиӈкин	издали дома  сливались между собой, а потом вдали начиналось небо
горогит нуӈан ханӈуктавунма самэлкива урэчэн	издали его можно было  принять за вопросительный знак
горогит тар будка баксачива гулэкэкэнмэ урэчэн	издали та будка походила на свайную постройку
город Амурду бидерэн	город лежит на Амуре
город гавча̄н	город был занят
город дагадӯн	под городом
город думан	городская дума
город дяпканӈа̄н	окраина города
город о̄дяран	становится городом
город тулигулин дяпкалин лукул, ханячил садыл  мигдыдеӈкитын	по окраинам города шумели густые, тенистые сады
город ча̄гида̄дӯн	вне города
город эчэн  городу биси, километрадук дагатмар	город — недалеко, не более километра
город-та, гулэсэг-дэ  бинитын сэлэмэл хоктол хавадуктын сот камавдячан	жизнь города и деревни во  многом зависела от работы железных дорог
городва аюсин	благоустройство города
городва га-мӣ	овладеть городом
городва хактыра дасчачан	город  покрывал мрак
городкан	городской житель
городкачин	подобный городу
городтыл илэл, городкар	городское население
городӈи паркин	городской парк
гороло амутканду нефтьвэ гакичил ичэвдерэ	далеко  у озера видны нефтяные промыслы
гороло̄ бисикэн-мэл, сурудем	как бы далеко ни было, я пойду
гороло̄ ичэтчэӈэ̄	далеко видно
гороло̄ урэл ичэвдечэ̄тын	вдали виднелись горы
горомомо, ба̄ткэма̄мэ*	очень далёкий
гороптыдук, нонопты̄дук, учэ̄лэ̄птыдук	испокон веков
гороптымамал анӈанил	давно минувшие дни
горотку северды район	отдалённый северный район
гороткумамаду хоктоду Донецкай бассейн шахтал дяритын манӈивӈатылва молва ӈэнэвдери состав илитчачан	состав крепёжного леса для шахт Донецкого бассейна стоял на самых дальних путях
гороткумамаду хоктоду Донецкай бассейн шахталин дяритын  маннивӈатылва молва ӈэнэвдери	состав илитчачан состав крепёжного леса для  шахт Донецкого бассейна стоял на дальних путях
гороё-гу бэюктэчэл,  дагая-гу, асин хутэчи оллан	далеко ли охотились, близко ли, жена его  забеременела
господин посол	господин посол
государственнай граница	государственная граница
государство̄ды о̄мнӣ, государстводы хавалӣмнӣ	государственный деятель
государстводӯ бидерэн, государствоӈи бидерэн	это принадлежит государству
государстводы аппарат	государственный аппарат
государстводы о̄врӣ	государственное устройство
государствот управляйде-мӣ	управлять государством
государствоӈи о̄кӣт	государственное устройство
гочин	следующий год
гочин, гочикты	будущий год
гочиндӯ	в будущем году
гочипты алагувкит ноновуллакин, сундук халдусун  дян дыгин анӈанилтыкин одяӈатын	к началу следующего учебного года некоторым  из вас исполнится четырнадцать лет
гоёвӯнма уллиде-мӣ	накладывать шов на рану
гражда̄нскэй война	гражданская война
гражданскэй война	гражданская война
гражданскэй о̄ма̄чин	гражданский долг
грамматикады тэде̄	грамматическое правило
граница чагидадукин мучуми	вернуться  из-за границы
гречневай крупа	гречневая крупа
гречневай чупа	гречневая каша
гӯлды̄мэ̄ткӣт бидерэн	совещание происходит
гӯлды̄мэ̄ткӣт повесткан	повестка дня
гугдаду асиктаду, дырамду гарадун, чапэ овча бичэн	на высокой ели, на  толстом суку выстроено гнездо белки
гугдал асиктал сулиӈилди дугэлдивэр угиски няӈнятки ларбалэдечэтын	громадные  ели поднимались высоко к небу своими острыми вершинами
гугдал чукал дугэклэтын бега юдечэ бичэн	над макушками высоких  трав всходила луна
гугдама̄мэт дэгде-мӣ	летать высоко
гугдасиӈ-мӣ	стать высоким
гугдат няӈняду  нюӈнякил онӈанди-да тавувдячатын, усигэчин-дэ танмувдячатын	высоко в небе  гуси то собирались утлом, то растягивались вожжей
гудей буга	живописная местность
гукэл минтыки, минэ	скажи мне
гукэл,  иду троллейбустула ивкил?	скажите, где садятся на троллейбус?
гукэл-кэ̄н! 4.	да говори же!
гулды̄де-мӣ	◊ принимать решение
гуллан	зарница играет
гуллан	отблески зарницы
гулэ  упкат момал хадылин капувувкил	все деревянные части дома выломаны
гулэ дагадун кэтэ илэл хата илитчачатын	по-прежнему  возле дома стояла толпа
гулэ даригидан	боковая сторона  дома
гулэ дасивунин гил гулэл  чагидитын аран ичэвдерэн	крыша дома чуть виднеется за другими домами
гулэ дасиптындула̄н туктыде-мӣ	взбираться на крышу дома
гулэ дасиптындула̄н туктырэн	он влез на крышу дома
гулэ дасиптынин хэргидэклэн онёвчово  албинма багдамава карнизва очатын	под самой крышей здания сделали широкий  белый карниз с украшениями
гулэ до̄дукин ю̄-мӣ (	освободить помещение
гулэ таткит дярин	дом под школу
гулэ улдыдӯ куптувран	пламя охватило дом
гулэ, мо̄ма дю̄	деревянный дом
гулэвэ гегидалин даригидалин мурукэми	обойти  дом с другой стороны
гулэвэ кэтэ илэл дялупкӣра	в избу набилось много людей
гулэдук аминмун ючэн	из  избы вышел наш отец
гулэдук электрическаил проводачил  мачтал улбулэдечэтын	от дома шли мачты с электрическими проводами
гулэкэн чагидин илэл  ичэвулчэтын	из-за домика показались люди
гулэл  окошколдутын хактырапчу	в окнах домов темно
гулэл дагатын	близость жилья
гулэл дасиптыртын, гота багдаргачатын	крыши домов и изгородь побелели
гулэл дасиптыртын, дыла­чат гарпавдерил, ичэвдечэтын	были видны  крыши домов, освещённые солнцем
гулэлэ икитвэ хэгды орон  даличадяран	вход в избу закрывает собой большой олень
гулэсэг дагамасинча	наверное, деревня близко
гулэтки дагамадяри атыркан	приближающаяся
гулэӈэ̄т	строительный материал
гунде-мӣ	касаться вопроса
гундевкил би аямамат хавалдярилив	говорят, что я  работаю отлично
гунденэ улгучэ̄ннэ	устный пересказ
гундеӈэ̄ бӣсӣм	смею сказать
гундеӈэ̄дук нуӈан симула̄рэн	вместо того чтобы сказать, он промолчал
гунивкэ	нужно сказать
гунивкэ̄	надо сказать
гунивкӣл	◊ ходит слух
гунивкӣл сурунэ̄вэ̄н	говорят, будто он уехал
гунмӯкэ̄нде-мӣ	заставлять сказать
гунмукэ̄н-мӣ	позволить говорить
гунмукэ̄н-мӣ	предоставить слово
гунмукэ̄нде-мӣ	позволять говорить
гуннэдус чэтэдыдун кэтэ тэдел	во многом вы правы
гунӣвкӣл	молва идёт
гусеничнэй трактор	гусеничный трактор
гуткэн оллоконмо дявадяӈан,  хиннат тагадяӈан	щука схватит рыбку и попадёт на крючок
гэды̄м	я согласен
гэлэ̄врэкин	в случае необходимости
гэлэ̄дем, эе̄тчэм	мне хочется
гэлэ̄лӣксэ	с болью в сердце
гэлэ̄нэлӣви, эетчэрӣлӣви	при всём желании
гэлэ̄рэкис-вэл, этэ̄м гунэ	хотя ты и просишь, я не скажу
гэлэдем омактал давдыра одядас!	желаю  Вам новых успехов!
гэлэрилин  Яковлев Наукал Академиядутын аспирант очан, научнайдула хавала итыгавдави	по  его ходатайству Яковлев был зачислен аспирантом в Академию наук для подготовки  к научной деятельности
гэлэрилин Яковлев Наукал Академиядутын аспирант очан,  научнайдула хавала итыгавдави	по его ходатайству Яковлев стал аспирантом  Академии наук, чтобы подготовиться к научной деятельности
гэннэ̄-мӣ	сбегать за чем-либо
гэннэ̄син-мӣ	пойти принести
гэрбитэ̄де-мӣ	носить имя
гэрбӣвӯды	именительный падеж
гэрбӣде-мӣ, гэрбӣтчэ-мӣ	называть по имени
гэрбӣчӣ	по имени
гэрэлдырэн	с длинной шеей
гӣл деньгил	остальные деньги
гӯкэл	скажи-ка
гӯкэллу нуӈантыкӣн миндӯк...	передайте ему от меня...
гӯлды̄мэ̄тчэ-мӣ	вести переговоры
гӯлды̄мэ̄тчэрэ	переговоры идут
да̄вдерӣ энӯмук	повальная болезнь
да̄виктэ	клещ
да̄вка̄н-	заразить
да̄вкӣ	заразный
да̄влэн энӯмук	заразная болезнь
да̄влэн энӯмук	инфекционная болезнь
да̄г-мӣ (	перебраться вброд
да̄л,  да̄нэсэл	1) родственник по свойству
давакит баргидадун того сомамат лургидечэн	по ту сторону перевала бушевал огонь
давакит даригидалдун улуктамал, симумал хексал  илитчачатын	по бокам перевала стояли крутые, хмурые скалы
даванӈа̄л остолтын	токарный станок
давда-мӣ	потерпеть поражение
давдакаллу!	сдавайтесь!
давды̄-ми	взять верх
давды̄-мӣ	одержать победу
давды̄-мӣ	одержать победу
давды̄-мӣ*	нанести поражение
давды̄дя-мӣ	брать верх
давды̄дя-мӣ	◊ наносить поражение
давды̄нди этэв-мӣ	увенчаться успехом
давды̄нма са̄мэлкӣдавэр	в ознаменование победы
давды̄ча̄	победивший, выигравший
давдывчал илэл	обречённые люди
давдыдярил давдачал орорвотын мэрдулэвэр сурувуӈкитын	победители  уводили оленей побеждённых к себе
давдындуливи минэвэ тэдэвдэс гэлэдем!	о своей удаче прошу Вас оповестить  меня!
давдыряри заём	выигрышный заём
давла̄ла̄н	мастер петь
давлала̄н би-мӣ	обладать талантом певца
давсӣдя-мӣ	трясти рогами
дагава	мало времени
дагагит  нуӈан алагумнива эчэн урэрэ	вблизи он не походил на учителя
дагаду аракукан чулдын  долдывчан	невдалеке послышалось тихое щебетание
дагаду тоготки суӈникэнтыкин ичэвдечэн	поблизости  от огня видна каждая кочка
дагадӯв	подле меня
дагадӯв	при мне
дагадӯвун	поблизости от нас
дагадыла гулэсэгдулэ орорди сурусинэв	мы отправились  в ближайший посёлок на оленях
дагадӯ	в ближайшее время
дагадӯ би-мӣ	быть вблизи
дагадӯ биде-мӣ, дагачукан	близко находиться
дагадӯв тэгэтчэрэн	он сидит около меня
дагадӯвун	вблизи от нас
дагали лупумнэк муннукар дыӈнилэнчэтын	проскакали мимо  зайцы
дагали орор бичэл	олени  вблизи
дагали-нун, горокло-нун сурусиндеӈэвун!	близко ли, далеко ли мы отправимся в  путь
дагама̄-мӣ	подойти поближе
дагама̄кӣ	почти рядом
дагамадяри илэ	приближающийся  человек
даганӣ	близкий друг
дагат  биденэл, нуӈартын упкатва долдыдяра	находясь близко, они всё слышали
дагаткудук  комнатадук хавалимни-аси туксачан	из соседней комнаты прибежала сотрудница
дагаткудук комнатадук хавалимни-аси туксачан, тадук хивинилчан	из  соседней комнаты прибежала сотрудница и тоже заволновалась
дагаткула телеграфтула суксиллалди  часмаюва ӈэнэвде?э бичэн	до  ближайшего телеграфа нужно было идти на лыжах около часу
дагаткула телеграфтула суксиллалди часмаюва ӈэнэвдеӈэ  бичэн	до ближайшего телеграфа нужно было идти на лыжах около часу
дагатмасал бикӣтыл	ближайшие посёлки
дагатмасал колхозил	ближайшие колхозы
дагачӯлта биде-мӣ	быть близким кому-либо
дагачӯлтал бичэ̄тын	они были близки
далиган чагидадун амкин, хуллат дасивча, илитчаран	за ширмой стоит  кровать, покрытая одеялом
далиптырдӯ дукӯдя-мӣ	заключать в скобки
дамгаты-мӣ	затянуться табаком
дамгатывун бикит	курилка, курительная комната
дамгатывун бумага	курительная  бумага
дамгатыдякал, энэ халдятта	курите, не стесняйтесь
дамгатыкал!  Гиркин-кэ гундерэн: «Си эдянни-ка!»	закуривай! А друг его говорит: «Да ты  что!»
дар, дарин	маховая сажень
даран-кэ  алапчул диктэл туги эндэвсипчут хулалэдечэтын	а рядом так заманчиво  краснели сладкие ягоды
даранду, олдондӯ	под боком
даранмуса̄т иливка̄нде-мӣ	ставить в ряд
дарасэн упкачин миячан	весь ряд  заметался
даргида̄	боковая сторона
дардяран, тадук дардяналви тетрадкадуви дукудяран	он мерит и свои измерения  заносит в тетрадку
даригидагит нэмкукэр дылгар нуӈандун дявчатын	с разных сторон ему отозвались тоненькие голоса
даригидали орор хуктырэ	в  стороне пробежали олени
даригидалин дылкэн-мэл, лэрукчэн-мэл дэгрэктын,  чипича тэлинӈэ нуӈарватын асасинивки	как  только полетит мимо неё муха или бабочка, птичка сейчас же погонится за ней
дарила̄	в стороне
дарис оми	промелькнуть в стороне
дариски нивми	раздвинуться
дариски нэми	отложить
дариски оми	отлучиться,  отойти
дарискй микчанми	отскочить
даричи  дылача	палящее солнце
дасиптычи гулэ	крытый дом, дом  с крышей
де̄йствующай армия	действующая армия
де̄килды̄дерӣ гӯнин	положительный ответ
дев-мӣ	утолить голод
девгэ̄лэ̄ ӈэнэвде-мӣ	везти продукты
девгэлэ̄-мӣ	достать продукты
девчэ̄лэ̄ви, девчэ̄лэ̄вэр	после обеда
дегдун бумага хулукукэн мисиктэн ламбаранмуча бичэн	на  подбородке у него был наклеен кусочек бумаги
дегинӈидэ̄	левая сторона
дегинӈидэ̄лӣ ӈэнэде-мӣ	держаться левой стороны
дегинӈит	с левой стороны
дегинӈун  анчанин танчэматчэчан	левая щека его дёргалась
дегинӈун дюлэгун манан капургача	у него левая  передняя лапка перешиблена
дегтыкиви ханӈалди  туниникса, Галя туксул ӈэнэдеривэтын сипкитчачан	подперев ладонями  подбородок, Галя следила, как уплывают облака
делэкил бултамниду тамурал вавмэчир одяӈатын	горностаи  будут ценной добычей для охотника
делэкил-кэ  хата-да тагачатын	ведь горностаи всё-таки попали
деммулми — юдеӈэс!	захочешь есть — вылезешь!
демократиядыл правол	демократические права
демократӣческай революция	демократическая революция
демӯл-мӣ, ко̄бдарӯл-мӣ*	захотеть есть
демуде-мӣ	хотеть есть
демуде-мӣ, депиглэде-мӣ	хотеть есть
демуливкэнде-ми	мори?ть го?лодом
депкӣтты прибор	столовый прибор
дептылэ̄л абулла	иссякли запасы
депутат мандатын	мандат депутата
депутаттӯ синма-мӣ	избрать депутатом
деринэдери тогоко̄н	блуждающий огонёк
десэ̄	положение дел
дефицӣтнай то̄вар	дефицитный товар
дивэ-ты, он-ка тарба кэтэмэмэл  илэл умунду автобусту батыркал!	просто удивительно, как много людей  помещалось в одном автобусе!
дивэ-ты, он-ка тарба кэтэмэмэл илэл умунду поездаду батыркал!	просто удивительно, как много людей помещалось в одном поезде!
диктор радиоли упкатван, пассажирил долдыдяӈаватын, гундеӈкин	диктор говорил по радио всё, что нужно было услышать пассажирам
диктэчивэ  суӈтава чопкоково мэдэксэ, хелаки нян хактанчэлчан	заметив глубокую лунку с  ягодами, куропатка снова захохотала
дипломатӣческай корпус	дипломатический корпус
диптыкэ̄-мӣ	стиснуть зубы
дисика-мӣ, дитырга-мӣ*	оскалить зубы
дисквэ но̄ду-мӣ	метать диск
до востребования дукӯвӯн	письмо до востребования
до̄гида̄	внутренняя сторона
до̄кӣт	место посадки
до̄лды̄вка̄н-мӣ (	позволить слушать
дове̄реннэй бэе	доверенное лицо
доводылва гунде-мӣ	приводить доводы
договорво о̄-мӣ	заключить договор
доктор тар асива айян	доктор  ту женщину вылечил
доктор усэдеривэ долчатчаригачинин,  асаткан халкат коӈкотчочон	девочка постукивала молотком, словно доктор,  выслушивающий больного
долбо  хигин очан	ночью поднялась буря
долбо делилэ тунӈая  талитчанни	ночью ты лучишь по пять тайменей
долбо упкачин доӈотоновон му упкатван капуӈкин	всё, что  замерзало по ночам, вода разбивала
долбо,  илэл палаткаду адерэктын, эдын палаткаватын бурирэн	ночью, когда люди спали  в палатке, ветер свалил её
долбов-мӣ	прийти домой поздно вечером
долболтоно	в вечернее время
долболтоно	под вечер
долболтоно Николай Алексеевич правление заседаниеван очан	вечером Николай Алексеевич устроил заседание правления
долболтоно дяпкун ча̄силдӯ	в восемь часов вечера
долболтоно нуӈан ларгама нямади анӈаниӈичи асикта тэгэрдун гулувунду тэгэтчэчэн	вечером  он сидел у огонька под густой столетней елью
долболтонор курсыл	вечерние курсы
долболтоноткӣ	к вечеру
долбони дяр дюр часилин бичэтын	было двенадцать часов ночи
долбонидук эдынилчэ эдын чопкоколво, епкэкэлвэ  дасчачан	поднявшийся к ночи ветер начал заметать ямы, ложбины
долбонили  дылганин илчэн	за ночь к нему вернулся голос
долбонили мунэ  хакуран	за ночь нас закрыло
долбонмо̄н	по ночам
долбонӣ дулиндӯн, долбо	среди ночи
долбонӣ-тырганӣ упкачӣн	круглые сутки
долбонӣва	всю ночь
долбонӣдӯ упкаттӯн	всю ночь напролёт
долбор хава̄	ночная работа
долбордук  сомама неӈдэлэ очан, иманна сомамат  даркичан: иманна оён дырам даркин очан, тар даркиндули элэ эюмкун муннукачан эдеӈэ умрэ  бичэн	ещё с ночи завернул такой мороз, что снег стал настом: верх снега  стал толстым настом, по нему даже лёгкий зайчишка не провалится
долборон	настала ночь
долборон, гэпэллэн*	настала ночь
долдылан  сенин аракуканмэ качулинма долдычан	его чуткое ухо уловило лёгкий стук
доли моты хакирван гаситчара,  нимнэвэ гачал, гаситчара, босоктолон гаситчара, эдэн мунурэ	они вытаскивают  печень лося, его внутренности, почки тащат, чтобы не сгнила
долчатчам, гирки майор!	слушаюсь, товарищ майор!
доминот эвӣде-мӣ	играть в домино
дорово!	добрый вечер!
дорово!	добрый день!
дотациява га-мӣ	получить дотацию
доӈотодёрива  дуннэвэ нюне дасчачан	начавшую промерзать землю порошило первым снежком
доӈотоко̄кун, ӣӈӣнмэмэ	жестокий мороз
доӈоточо̄	скованный льдом
дугали электрическай ток ӈэнэвки, мотордула ивки	электрический ток  проходит по дуге и попадает в мотор
дугэ, сувэрэ, чимэ*	кончик ветки
дукӯвӯнди мэдэ̄вкэл, дукӯна силбакал	сообщи письменно
дукӯл-мӣ	приняться писать
дукӯсса-мӣ	попытаться написать
дукӯӈкӣлва суллидярӣ пуртака̄н	перочинный нож
дукувка̄	следует написать
дукувун солдатты, илан онӈачит чакиливча эчэн биси	письмо  было не обычное солдатское, сложенное треугольником
дукудянма̄н, би суруктэ	пока он пишет, я схожу
дукудяӈа	можно записать
дукудяӈа̄ би-мӣ	иметь возможность писать
дукудяӈа̄ би-мӣ	суметь написать
дукула̄н би-мӣ	обладать талантом писателя
дукӯвка̄	нужно написать
дукӯдя-мӣ	вести записи
дукӯдярӣ машина	пишущая машинка
дукӯдяӈа̄	умение писать
дукӯлдя-мӣ	начинать писать
дулинду хэгдымэмэ багдама дворец таӈуя ачин  окночи гиллэнэдечэн	в центре блестел бесчисленными окнами громадный белый  дворец
дулугӯ таткӣт	средняя школа
дулум характер	мирный характер
дуннэ  аракукан, таравэ ӈи-вэл онёчогочин бичэн, ичэвулдечэн	медленно, словно её  кто-то нарисовал, появилась земля
дуннэ баӣлва̄н улэрӣ	добыча полезных ископаемых
дуннэ до̄лӣн	под землёй
дуннэвэ даринивки	землемер
дуннэвэ хавалдя-мӣ	обрабатывать землю
дуннэду  кучидувэ он-да эдеӈэ тагивра	на земле летучую мышь узнать невозможно
дуннэды	дух — хозяин земли
дуннэдыл хавал	земляные работы
дуннэдӯ бурурэн, дуннэдӯ тыктэн	он упал на землю
